작물명	테이블명
감귤_-	gamgul_prod_area
감자_가을	potato_fall_prod_area
감자_고랭지	potato_highland_prod_area
감자_봄	potato_spring_prod_area
고추_-	chili_prod_area
단감_-	dangam_prod_area
당근_-	carrot_prod_area
대파_-	largeonion_prod_area
땅콩_-	peanut_prod_area
마늘_-	garlic_prod_area
무_가을	daikon_fall_prod_area
무_겨울	daikon_winter_prod_area
무_고랭지	daikon_highland_prod_area
무_봄	daikon_spring_prod_area
배_-	pear_prod_area
배추_가을	napacabbage_fall_prod_area
배추_겨울	napacabbage_winter_prod_area
배추_고랭지	napacabbage_highland_prod_area
배추_봄	napacabbage_spring_prod_area
복숭아_-	peach_prod_area
사과_-	apple_prod_area
생강_-	ginger_prod_area
시금치_-	spinach_prod_area
양배추_-	cabbage_prod_area
양파_-	onion_prod_area
쪽파_-	chives_prod_area
참깨_-	sesame_prod_area
포도_-	grape_prod_area