,감귤_-,감자_가을,감자_고랭지,감자_봄,고추_-,단감_-,당근_-,대파_-,땅콩_-,마늘_-,무_가을,무_겨울,무_고랭지,무_봄,배_-,배추_가을,배추_겨울,배추_고랭지,배추_봄,복숭아_-,사과_-,생강_-,시금치_-,양배추_-,양파_-,쪽파_-,참깨_-,포도_-
생산량,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
면적,0.9908700489384656,0.9792505247556793,0.9832340989564402,0.9550222670418678,0.9892686530888744,0.9681972166064384,0.9893743830883905,0.9829661903870871,0.9198110058097104,0.9841090731826937,0.9599241019161011,0.38494858771022133,0.9930429060432147,0.9735286922804239,0.9214218010400304,0.9741384804927976,0.9968315377152833,0.9869550624542822,0.9826289296596582,0.9768103575139475,0.9888051690199615,0.9729726664151713,0.8988118485604243,0.9838877648724653,0.9904352994010323,0.985703946066075,0.9067635104687198,0.9909171910409905
평균 기온,0.9186091445428163,0.6507783039751218,-0.4904442206926067,-0.26866414674404754,-0.44284403190040117,0.25200694209685903,0.6578514251184591,0.10313130894374625,-0.07202273046670213,0.5098270755298233,0.03942700639736208,-0.31983097716601977,-0.44977134368058047,0.06806640318917472,-0.09027215765381237,-0.15069117397676726,-0.9667862604542705,-0.42792682558951034,-0.4150428661558335,-0.1469614595611207,0.014534504505614538,-0.03291989744211122,0.24906729241805275,0.5641551280016034,0.356814315246344,0.3134311370591744,-0.123158776526247,-0.2369199577075681
최저 기온,0.9332730298724322,0.6509019682604898,-0.4856559063574526,-0.2858207548821735,-0.40773678384551604,0.1655841135234859,0.7350499510520442,0.11022454686247876,-0.2496324005841985,0.4943940556622652,-0.00045137849727301926,-0.4649863343560607,-0.43340305844988586,0.30448033986231826,-0.0844997952432219,-0.1855169491956543,-0.9697240622694564,-0.40663415506611306,-0.06132633919695873,-0.21772660097120874,-0.037742150372402035,-0.11943824196288197,0.19113389214861096,0.7581922704605507,0.3509459213289203,0.280505929418258,-0.047242961177591046,-0.26667985713642667
최고 기온,0.3895787059153022,0.5396690309191092,-0.4441341799749226,-0.053378438946294834,-0.30428638601331554,0.46041548358814527,0.084198104659563,0.06098753968103859,0.27874013536488934,0.4660807878051828,0.12676646433040398,-0.1967691371833412,-0.4445119078884849,-0.3688794927035201,-0.02623712728318543,-0.06820584255341663,-0.9438257735937842,-0.4252283369373395,-0.40670793571652647,-0.0423869670465472,0.036935385222722654,0.11101419477027669,0.29385055098773144,-0.2964596477651308,0.3316342504530543,0.23584092012230873,-0.12983875765205619,-0.13953931717144058
1시간 최다강수량,0.4354606398077911,0.14080286028868083,0.0924736578825134,-0.2601905052344839,-0.28584422955532424,0.041428027335431626,0.19323704815355605,0.06822643911383859,-0.22390285486275935,0.24997701926962249,0.16997098159149313,-0.46291600585407633,-0.22522029863918797,0.17538459554455182,0.07374813420431194,-0.08101951670434239,-0.11129627554835846,-0.18992523421759075,0.09655787411203091,-0.3200316033116244,-0.449867145935383,-0.2173791113417431,0.0622974707496345,0.10245385617716403,0.19518084998253848,-0.038520556937535595,-0.19555925111006742,-0.2837115768137311
일 강수량 평균,0.37575564680202256,0.13066275638708344,0.21380599709529766,-0.22200810850231215,-0.29183383637805566,0.17731043847605513,0.22574833302453445,0.014448750284053423,-0.32639580490795433,0.2997001333255101,-0.049766783239331126,-0.6408187040583708,-0.09153358184383682,0.15616290251406525,-0.028818799303282315,-0.25409808798057115,-0.7487010650580694,-0.012346080374924538,0.13341717027608008,-0.2614604986924393,-0.3563677861464788,-0.29867651273741547,0.18043685186571085,0.1466538878122353,0.22758190632519948,-0.08424639622721591,-0.17186902042375615,-0.22284641743455355
강수량 합계,0.48448087538323714,0.10018807533494731,0.21795536866349235,-0.13441286990064705,-0.11896842828403256,0.08976020906971713,0.19877956712111555,0.0031327602544978577,-0.2926880053384593,0.2995777158693445,-0.18760994558774693,-0.8094803997260058,0.07201728159547517,0.14363925029477925,-0.15495873135818378,-0.30218613644045983,-0.741953193464137,0.15890409546519774,0.13087191986356367,-0.01706274368552249,-0.031538920655539475,-0.2515348956096423,0.1282799279461082,0.16113781028012922,0.19991071404878294,-0.11773901787157771,-0.16663110111574775,0.003695075190256924
최대 순간풍속,0.6752307335775768,0.5420868768391489,-0.513100556267591,0.0549000052916123,0.03246422678712046,-0.014376395219049045,0.5773863893454688,0.14937556518696352,-0.28504833297844934,0.4896710405008045,-0.08806407342109591,0.06985534363902197,-0.1194260137684811,0.4553155797317018,0.015079196521251415,-0.13271006825283216,-0.8303210037278647,-0.07332107467405094,0.43840812930065187,0.1556325040704842,0.1605999720825994,-0.16041087288308506,0.016833598769020564,0.8057342420188589,0.3915824114753004,0.3854499075277109,0.28456849203894735,0.06890270613330877
최대 풍속,0.6239059885201981,0.5365062112017128,-0.24146517102893403,0.006068291278047938,-0.02567818807430004,-0.02121129015608209,0.5697816672574233,0.216627675792791,-0.3078374823383075,0.5121223382775252,-0.0339046389975709,0.05933539034958711,0.004952604441687716,0.45629499336974083,0.06517410329645226,-0.08183298392467132,-0.7321421324538759,0.0714111327769442,0.4763019780425424,0.01157974753934808,0.01630326931178612,-0.14983166357304684,0.03648231368775589,0.8386179512920625,0.4310611866842931,0.4516926328350208,0.3006903490069323,-0.072426470096494
평균 풍속,0.7689610516897699,0.5794798894264658,-0.2733874199077692,-0.015937027310914603,-0.1167582772682182,-0.07194543172465483,0.6700371032146727,0.16552826312098406,-0.30720363345024193,0.4600315005118401,-0.09866213107610466,0.2588347630311945,0.15539943712088347,0.5088072396752075,-0.01842235492421225,-0.17513602625968464,-0.8990896710687885,0.21475851419177439,0.3898665045356518,0.03207613280285873,0.07778106007903898,-0.13316475617023485,-0.01589493730878899,0.8848690737844408,0.34236898062944393,0.36708863664660935,0.21848967839375086,-0.054143971254770384
풍정합,0.7689801145558613,0.5794275017112205,-0.2739508047675668,-0.015940763845290962,-0.11671150785899424,-0.07193632143392512,0.6700295306618919,0.16509821079142875,-0.30719010724811385,0.46001068560125996,-0.09861743713521418,0.26000065094573144,0.1549791881897111,0.5088487148380567,-0.018449325351646263,-0.17517821979018414,-0.8991769053514695,0.2144924229070671,0.3899931831234561,0.0320590231421111,0.07781229713722106,-0.13314797995659056,-0.01591285856509504,0.8848131333245236,0.34234124485998757,0.36717696017556095,0.21853950175887027,-0.054129698498914046
평균 이슬점온도,0.8243611392915472,0.5618308202712755,-0.5265535221688081,-0.26714257142110076,-0.33260836602071514,0.09107809902863445,0.5544709766658721,0.11957490064304072,-0.1537473086351618,0.43951583700653707,0.1358751731801918,-0.814794715768991,-0.5063404082917483,0.1864736551483553,0.07461965740432505,-0.032426489250429257,-0.9286977767675746,-0.4418327515503147,0.012586258279587958,-0.3447322709728636,-0.18382060311775117,-0.0064458144761913964,0.15441740375431184,0.6582732177193109,0.3538896928918843,0.24734321041915608,0.04079221779629551,-0.3378915642696413
최소 상대습도,0.7069849030312663,0.3465440072565717,-0.23734708236758018,-0.18272723978567762,-0.16504609924378258,-0.10659507094920931,0.5355481020362447,0.09098398660889846,-0.2871693638118999,0.30175622225186155,0.03944013814790048,-0.8171276210970319,-0.13050041594436573,0.31346705767048233,0.09080944217097059,0.0005629326607730648,-0.6861134249971276,-0.01667300411935335,0.21888974850894635,-0.2993223132472714,-0.16813920901217186,-0.0872727082852567,0.01908310354669652,0.8072843300948428,0.2756566090075323,0.1230367193463025,0.13312729933582393,-0.23172436876778912
평균 상대습도,0.21139873243061857,-0.21042684762425862,-0.1446628786181674,-0.1385747736358516,-0.1314633480117676,-0.17415562138495996,0.14884619628205384,0.08381995811891696,-0.1267085588781689,0.11058219484048684,0.24988275735791088,-0.6576230529724185,-0.1483485746981597,0.1465446244845189,0.24566181195846032,0.3359243838066817,0.5556996239027918,-0.04708616623875925,0.18255984369373363,-0.40881342341876187,-0.2889773863828168,0.06282675598983156,-0.0009852084910788746,0.5119613915270231,0.2155423239649915,-0.10163795566794191,0.12804766182353575,-0.35169361421914935
평균 증기압,0.7898484709731052,0.5586806012557458,-0.49225107692823716,-0.23698220742588447,-0.35907010674535733,0.09798654819655685,0.5419929909887742,0.11799504373791175,-0.1552913294502376,0.42984651116834244,0.07851194529980333,-0.5813018276703855,-0.4744341845802108,0.20004864839811573,0.051745614609735306,-0.07653984365291427,-0.8696277754390735,-0.42921558057750314,0.006316821176478394,-0.3712854435622545,-0.19441021571372902,-0.010443293516516204,0.1484888828298566,0.6496701429396726,0.3545218500582079,0.23897636229531563,0.027447811805656447,-0.3724600026785166
평균 현지기압,0.42773561671351806,0.31225466469959934,-0.8555932743027237,-0.1615530257079545,-0.2363494000848301,0.2945648470610291,0.3448782990815524,0.3305515619619265,-0.11269356066125114,0.5238159041793043,0.3213885314082791,-0.5276820090133221,-0.6799082441401282,0.05861497776271731,0.49595364218646915,0.2441256226930655,-0.4942031543727907,-0.6529491386902616,-0.04553012086705807,-0.37722616532818454,-0.21872266253882144,0.07274352227130865,0.3618153166535676,0.2983367700525389,0.39280939654138464,0.5763972907728214,0.15988910740154022,-0.21427206978932994
가조시간,-0.5931423304636245,0.6046350277784729,0.8822481468468072,0.3033866683453383,0.228949872984624,-0.30762883812175207,-0.6311023256552316,-0.04956025013834822,0.1744890837991155,0.5659502595362108,0.12143397275451887,-0.6756583472699282,0.7860446313228594,-0.252373456459158,0.01862617957252663,-0.07506271482918336,-0.972449716634886,0.766019778500623,-0.06052232793509503,0.24688074460196796,0.0679332956044551,0.07816924721103119,-0.3269897110564065,-0.620003699229908,0.46570807497503175,0.1581010689527708,-0.19840140796263842,0.27392165306465494
평균 일조 시간,-0.672362352823144,0.009507348514502875,-0.09308279245397579,0.05415000308709925,0.13032194403556813,0.06325805830010006,-0.16009632175107522,0.01398419023512941,0.20193688228339352,-0.06910309322798773,0.06809382578879623,0.7260248926525408,-0.04045763952951601,-0.2520839827325647,0.08480209527625691,0.2313181248940718,0.6672943857194812,-0.10091797830198142,-0.14251467645429902,0.22064683847973174,0.0903122621838238,0.14621453842792181,0.021335885326590597,-0.13129721654945434,-0.025692558025589275,0.26900946085480315,0.17716699283540255,0.12735339946861993
1시간 최다 일사량 평균,-0.29522866300940565,0.3188539708906703,0.2375600725366999,0.013288016377146616,-0.2083777923698892,0.1855128369322244,0.23223005653761686,0.03274959712933088,-0.10350118302182595,0.1301738000981949,-0.04138775592009614,0.6178520275366411,0.09986648120189794,0.10966274339555229,-0.11644406878761439,0.01271960232667066,0.5088064816737944,0.05344819051325949,-0.018439546430877828,-0.10463200815165775,-0.14242503516117697,-0.22737951974051987,0.12314480019899812,0.2927865377251459,0.168771453558817,0.21296856866649386,-0.05564203485584121,-0.20985287935864042
평균 일 합계 일사,-0.4333976513619725,0.269516743070819,0.14839247239047423,0.05600565329474161,-0.17945741557137393,0.2330206906389578,0.14945918676779302,0.060827423675707364,-0.04829265596655033,0.1277890275943355,-0.02053452877906885,0.6157185842931262,0.08803407489052104,0.036180648131263864,-0.043949082738668765,0.08270051419418406,0.5248018127605416,0.04024556554753189,-0.035361974371667396,-0.06064321050716403,-0.11110541785765501,-0.17479099483526067,0.15906285742652584,0.21597977274305352,0.16739790704330365,0.26805094404846436,-0.012255828603063327,-0.17258639014511942
일 최심신적설,-0.0926084966215215,-0.12685064120114412,0.2411985975134045,0.16166150049866865,0.26547034757506727,-0.23394545511676676,-0.15208373240315864,,-0.12946140662515268,-0.2794728327746821,0.24926970449320104,-0.06878039150849755,0.15641231724644464,0.012102404349586772,-0.03633944349028114,0.08511064933640883,0.536040437650272,,0.10568161049572858,0.2312882744409013,0.14115655671891028,,-0.15527902816050818,-0.016861017035776568,-0.24520471181629133,,,0.3043515394724732
일 최심적설,-0.14935663475126637,-0.12492228641287006,0.21192023833515647,0.12792669587031938,0.11033339401189783,-0.2016783808267776,-0.1329581126156529,,-0.1405957888394663,-0.23886809536619066,0.11605202229886734,-0.11442413435279998,0.17232078496121053,0.05815276273518324,-0.14349104201527324,0.0012350267814689418,0.4988659591084572,,0.11989856331572785,0.13303492818121718,0.09494945723602419,-0.055769924711590806,-0.11996326347394182,0.037280356995859236,-0.20328981807623742,,,0.15238360915307295
지면온도,0.8681097489112896,0.5995461408221813,-0.6470889315780111,-0.08352780975148612,-0.3052779927438634,0.2711724222896387,0.5395079205893017,0.07892281218658413,0.14264729096346754,0.5107346488768069,0.056794054719271875,-0.7632867600150913,-0.45932329107621794,0.04038507908030464,-0.10264003492970097,-0.0645489609253724,-0.9463829484677707,-0.4266608416296473,-0.31583119214322347,-0.049048577456425116,0.16794373121496475,0.1300095061961165,0.28035728501471124,0.43394111214371,0.38213227103940084,0.31492581061621255,0.048970336225771904,-0.12858746594446388
최저 초상온도,0.9212011860660448,0.622320900002925,-0.46869092248993544,-0.3113277124176579,-0.37366325077773316,0.09395354578983608,0.7118491388517212,0.10775889674414199,-0.27908632669251704,0.43517239294388893,0.007132953255342879,-0.5750500126884189,-0.44342000629283584,0.36853928066062447,-0.057842698059475894,-0.20224282511453104,-0.9510768003311328,-0.3770635563475438,-0.005103395426852043,-0.2172198156766576,-0.09264493581395562,-0.11062116983014407,0.12990658524380105,0.7621427205073399,0.29006135499137004,0.2743985025133127,-0.05468721537723654,-0.25325182907105753
5cm 지중온도,0.8577577025050767,0.6516265836702131,-0.506470740600999,-0.26512524619756095,-0.19742394575760946,0.10523405195481085,0.648233809286156,-0.04386025659077399,-0.025802234947611014,0.3860848233963341,0.007006926984784515,-0.07754409352453827,-0.44550796689047456,0.1259093442872693,-0.23764262282246484,-0.12856908433751985,-0.9300482160561212,-0.3471147616155212,-0.25346039768425777,0.11750941956987832,0.24872363118807392,0.018899231165406066,0.08070433237102402,0.5230908439528882,0.2651942179213409,0.12821518138830454,-0.010665248778209433,0.013094796770280949
10cm 지중온도,0.9186574059727377,0.6631690266254617,-0.5034398235547372,-0.34883113666850935,-0.2458928019619748,0.11152279549038116,0.6599952879908663,-0.05406913472961286,-0.08456715954674096,0.40297533570758054,-0.008620830256513938,-0.5154208405354492,-0.46985899253324104,0.25422559050690213,-0.2556530068231485,-0.14975167613955595,-0.9053059561626104,-0.40032551598440896,-0.272684390360048,0.10409835570999229,0.23604857380319832,-0.05941919507176011,0.0989144506126858,0.5397662570547751,0.26340150336043017,0.11212857728140029,-0.06738287810207258,0.003525454616701344
20cm 지중온도,0.9234416369412706,0.6785978510930376,-0.4613001606397416,-0.36114447796193166,-0.24408332307193042,0.1282079577059311,0.6258829096276671,-0.08223305151178668,-0.09295323827411667,0.407078244159883,3.828536877108812e-05,-0.4412827523793154,-0.46222938879861936,0.20841104752891018,-0.25745751061019345,-0.16544257413938043,-0.893236501123424,-0.4008872931353034,-0.25642399827680623,0.057741093060690044,0.19358613222177615,-0.0826710827842752,0.11575891451225855,0.540083220006826,0.28180844238657043,0.09444557072082099,-0.07668032091333228,-0.04580022923142335
30cm 지중온도,0.9282070815227127,0.6956585185351878,-0.5022468895362096,-0.34572554384157944,-0.2361607977406603,0.11595130686276117,0.632543736946898,-0.09590120118713469,-0.06807910259662593,0.3983506887900885,-0.005356588936446588,-0.15555971007397082,-0.49186732391772653,0.2111497230243299,-0.26129020763563654,-0.20059454278142194,-0.9332610096407997,-0.44448927755076423,-0.24879292839929704,0.049610268804335354,0.17864972283299582,-0.03495939677832158,0.10596324568882268,0.5278735985362867,0.26250300021947526,0.08516931895379105,-0.04577596906633494,-0.05126041487734366
0.5m 지중온도,0.9193947049537344,0.5955196561626607,-0.3177974205259284,-0.4485439917815678,-0.28813041800411027,0.09207845877912497,0.511851861345181,-0.01784377001080447,-0.1783102903703355,0.3566784683555733,0.08960288352627196,0.23443949396152491,-0.38099523937934715,0.20379769126270394,-0.19706614920656035,-0.2160624513033603,-0.9246945696131065,-0.3605332564205909,-0.20024080107642495,-0.055939467094021034,0.014272451349742943,-0.19434943159285584,0.10484372602499818,0.5192641642390092,0.272824292582223,0.1157503209441219,-0.08790071582229146,-0.14566554263851256
1.0m 지중온도,0.8889057849992704,0.6485637295702893,-0.2586670504015307,-0.4897320076421738,-0.3127791816193871,0.10472001094878179,0.5554215052580326,-0.06172800562814549,-0.2577498422904872,0.35722952469608427,0.07280827227585408,0.4042485846156773,-0.38954317017121054,0.2596839787134801,-0.19267436614951577,-0.2623842753806258,-0.7347063953376081,-0.3601469137184954,-0.1214380534189117,-0.09121898034021406,-0.033509291740175244,-0.23311662915426393,0.1479947348205872,0.5192085358660828,0.25250558617241325,0.0550662356043244,-0.06556692412020088,-0.1983495772187602
1.5m 지중온도,0.7791861739389341,0.6614019430630765,0.22060270424441397,-0.5359445481588145,-0.3788270388894643,0.11051955551059883,0.5788956034573884,0.08994518026484706,-0.44682793407542226,0.3794876576650994,0.17837701704889714,0.4846872711138984,0.49466552633891725,0.3860331380882508,-0.06217216542983835,-0.15967690389678593,0.0011345281693815915,0.4516673318532058,-0.04441783419307452,-0.12476955997857243,-0.14067530331946237,-0.2582663897474177,0.0802768564397737,0.7141533841292543,0.26544357937662244,0.38092814800836516,-0.05368588713247389,-0.26057646178989674
3.0m 지중온도,0.8340306576400867,0.6741634697943617,0.6336021637109888,-0.4400157920876707,-0.4623897490497927,0.09020339421441817,0.6567630589321356,0.010236621697863976,-0.4894855462237544,0.3848493664413882,0.13230435509944138,0.43990622839308263,0.7423829755293594,0.4528095868219652,-0.1646865482425819,-0.16642452438766112,-0.12800498914106334,0.6983499177354205,0.01600020687332088,-0.2292331437944177,-0.2879683246411432,-0.27868186376097615,0.048840577581167846,0.815100408125214,0.2723343735521086,0.36816545138224405,-0.07939023373319554,-0.4115875871536935
5.0m 지중온도,0.766358056007204,0.670122383955195,0.5780816217509968,-0.36386747549877885,-0.4817189656014875,0.13192810693415535,0.6620653890898508,0.0435528755231372,-0.4652931159876881,0.38441666419125525,0.19712840123652303,0.17734027777851746,0.6363385292019281,0.436961301354488,-0.14460819424416038,-0.10693320807304114,-0.6536087829839765,0.5474756791880558,0.021896025187046007,-0.3739650865116608,-0.4167288301433326,-0.2867621839743114,0.08011798332721377,0.8501944328616605,0.29853531006094514,0.391063289919682,-0.0026425115521702086,-0.5002124700609119
평균 일교차,-0.8767289610453299,-0.5519977581550604,-0.0009897079935373124,0.1690181972210719,0.28858538154001134,0.04147407750822794,-0.7305520865334517,-0.07971866335002344,0.3819291818990891,-0.3795457037028606,0.10713635094494593,0.8146560933867572,-0.13248033135088477,-0.44244042842123127,0.0840107343483772,0.24328415409073692,0.9677861914238408,-0.17664564747967423,-0.20634825697604717,0.22039259401486025,0.08110373349190503,0.18229176032513675,-0.04343839379596802,-0.8879261206098498,-0.26851532010544465,-0.20913055390503338,-0.0484889744738121,0.2070205748237505
일교차 15이상인 날,-0.5964144565341815,-0.24266352274666925,-0.008597787449876238,-0.04701182387561895,0.11734926103372745,-0.042933635237590306,-0.5117756224002075,-0.03492962381662665,0.32274039935761056,-0.48083985586802275,0.20337954949264575,,-0.22137539823462707,-0.3286170660411695,-0.03561231585313115,0.09592855905566058,0.7722583827538633,-0.2811082670934918,-0.3746852159711155,0.14561495788162854,-0.010875625272441338,0.11933506835563985,-0.16782093476745216,-0.8049459649049148,-0.4334841424678488,-0.19284953553933196,-0.21787514916060202,0.14107283167129492
태풍 수,-0.1281456429990891,-0.01603152010468547,0.04136528491888239,-0.04660909147179687,-0.043363207003967424,-0.056951925321843996,-0.04691135627666154,-0.03833236938486268,0.011288051305852323,0.015431848803607194,-0.03174122512796674,0.45823185094920016,0.01691552027876814,-0.009828737848569098,-0.09470947340201792,-0.0636141009654812,0.09903543978475841,0.05468984805798126,0.08457419162246725,-0.005069923186772541,0.022529433242338404,-0.004246322736600231,0.012628560694796268,0.012711576293343197,-0.024583842328078555,-0.06921158356465727,0.06115032015980602,-0.055415146781165096
영향을 준 태풍 수,-0.0877686235307343,-0.010984840491752912,-0.0025426372153838635,-0.08619425425587074,-0.10870347902955282,-0.05779301742965903,-0.05340663835074712,-0.003294117653789509,-0.0037682953728727835,0.005800785675292779,-0.12269510785096743,0.25866039345984004,0.018480254690370346,-0.010542191975186632,-0.18215796123674433,-0.07671952138546041,0.023829863672007245,0.055081472162450615,0.06737235408769245,-0.013141231195225022,0.00423576407359717,-0.03807850261446905,-0.04022923803624378,-0.002028240334382657,-0.02962090751339715,-0.12192097725407984,-0.12683468417394062,-0.09578829151631106
한파일 수,-0.1780513354946788,-0.3346293744686695,0.5366771527781796,0.09786009467764975,-0.10501369595065942,-0.3119912833152463,-0.24078178131663008,-0.03897741371093556,-0.10365488581424964,-0.43714047745436246,-0.041449721335336885,,0.570118083317067,-0.04498472373614499,-0.13320333630338707,-0.020765951751293112,,0.571649866153467,-0.0645609932762168,-0.06872243547343054,-0.2002667032705466,-0.170716067275423,-0.3013830393221775,-0.2291280385084164,-0.35865478126769806,-0.2648101137827174,-0.31908086824983406,-0.05282850704441079
폭염일 수,-0.4093272764012049,-0.06559551680834252,-0.397419717180488,0.056750335628979715,-0.09948284753995347,0.15983448636171374,-0.1452537645178398,,0.21986684294614656,-0.04021761538846425,0.07898299780268069,,-0.3219581856435167,-0.09647312859586475,-0.0885465496685241,0.02518606254912901,,-0.30849394107355627,-0.04728999070132857,0.08965433620057427,0.049669600262836,0.09868481666542255,0.14733590060559515,-0.33680350252005936,-0.014009689938868398,,-0.06262232962144772,-0.07229460425839618
