지역 이름,일 평균상대습도,일 평균기온,일 평균풍속,일 최고기온,일 최저상대습도,일 최저기온,일 강수량,일 누적일조시간,연월일
속초,42.4,1.9,1.6,6.7,22,-2.9,,8.8,2017-12-21
속초,47.5,5.8,2.3,10.4,28,-0.3,,8.4,2017-12-22
속초,43.1,8.3,1.9,11.4,31,5.1,,7.9,2017-12-23
속초,70.6,4.6,1.9,9.2,39,1.0,9.4,0.0,2017-12-24
북춘천,82.3,-3.0,0.7,2.6,50,-7.6,,5.3,2017-12-21
북춘천,83.6,-0.6,0.5,3.9,60,-6.3,,0.5,2017-12-22
북춘천,82.5,2.6,0.7,8.6,54,-0.5,0.0,5.5,2017-12-23
북춘천,87.4,0.9,0.7,2.4,62,-0.7,10.4,0.0,2017-12-24
철원,77.1,-3.9,1.0,1.6,49,-12.2,,5.3,2017-12-21
철원,73.5,2.2,1.2,5.4,63,-2.9,,1.7,2017-12-22
철원,76.3,3.5,1.4,8.5,54,-0.4,,4.9,2017-12-23
철원,84.9,0.7,1.1,2.1,66,-0.7,7.3,0.0,2017-12-24
동두천,72.9,-3.2,0.9,4.1,39,-9.3,,7.8,2017-12-21
동두천,68.0,2.3,1.3,6.6,52,-4.6,,3.3,2017-12-22
동두천,72.9,4.9,1.2,9.7,47,2.6,,5.1,2017-12-23
동두천,80.8,1.7,1.6,3.9,68,-1.2,12.1,0.0,2017-12-24
파주,88.3,-6.8,0.5,1.7,59,-13.3,,4.2,2017-12-21
파주,82.1,1.0,1.5,6.8,62,-8.3,,4.4,2017-12-22
파주,90.1,2.5,1.0,7.4,66,-1.5,,3.4,2017-12-23
파주,87.5,0.8,1.9,2.6,64,-1.6,11.6,0.0,2017-12-24
대관령,63.6,-4.8,5.4,-1.3,37,-8.3,,8.9,2017-12-21
대관령,74.0,-1.7,5.7,1.3,60,-8.8,,8.1,2017-12-22
대관령,73.4,0.8,4.9,4.5,43,-3.0,,8.3,2017-12-23
대관령,85.4,-0.7,3.7,1.2,71,-4.4,7.3,1.4,2017-12-24
춘천,88.3,-3.3,0.8,2.1,55,-5.4,,4.5,2017-12-21
춘천,87.4,-0.6,0.6,2.5,68,-4.9,,1.0,2017-12-22
춘천,85.5,2.7,0.7,8.1,57,0.2,0.0,4.5,2017-12-23
춘천,90.4,1.2,0.9,1.7,63,0.6,13.3,0.0,2017-12-24
백령도,52.9,3.2,3.3,6.0,41,-0.5,,5.0,2017-12-21
백령도,71.6,6.6,6.3,8.4,52,3.9,,7.6,2017-12-22
백령도,85.6,4.0,2.4,7.1,57,2.4,,5.7,2017-12-23
백령도,76.4,2.2,4.4,5.1,49,-0.9,1.1,2.9,2017-12-24
북강릉,45.3,2.6,1.8,7.8,19,-0.9,,8.6,2017-12-21
북강릉,54.9,5.0,2.2,9.9,36,-1.1,,8.6,2017-12-22
북강릉,55.6,6.8,1.5,11.7,37,2.7,,8.2,2017-12-23
북강릉,74.5,5.1,2.2,8.9,41,1.5,7.4,0.0,2017-12-24
강릉,34.4,3.3,3.6,7.8,19,0.5,,8.9,2017-12-21
강릉,43.1,5.7,3.9,9.7,32,1.9,,8.6,2017-12-22
강릉,38.8,8.9,3.2,12.4,25,5.8,,8.3,2017-12-23
강릉,65.1,5.4,1.9,9.2,35,1.0,5.5,0.2,2017-12-24
동해,41.0,3.5,1.7,8.5,17,-0.3,,8.9,2017-12-21
동해,47.5,5.6,1.9,10.0,34,0.4,,8.8,2017-12-22
동해,53.8,7.8,1.4,11.5,43,4.6,,8.1,2017-12-23
동해,66.4,6.5,2.0,9.7,46,3.7,4.0,0.1,2017-12-24
서울,71.4,-0.9,1.2,4.6,36,-5.6,,8.6,2017-12-21
서울,66.6,3.4,1.1,6.6,53,-1.9,,3.1,2017-12-22
서울,75.8,6.1,1.1,8.7,62,5.0,,3.9,2017-12-23
서울,82.0,2.9,1.9,5.7,62,-0.6,20.0,0.0,2017-12-24
인천,72.0,-0.2,2.1,3.6,43,-4.5,,9.1,2017-12-21
인천,73.8,4.0,3.5,7.6,61,-0.5,,5.6,2017-12-22
인천,83.5,5.9,2.2,9.2,59,4.2,,6.7,2017-12-23
인천,87.3,3.2,4.4,6.1,61,-0.2,21.0,0.3,2017-12-24
원주,63.4,-0.7,0.8,3.2,35,-4.2,0.0,8.5,2017-12-21
원주,69.0,1.1,0.5,4.5,56,-3.2,,1.0,2017-12-22
원주,74.4,3.9,0.4,8.6,58,1.5,0.0,2.8,2017-12-23
원주,82.1,2.1,0.9,3.0,66,0.9,10.7,0.0,2017-12-24
울릉도,48.4,3.9,2.8,7.9,38,1.8,0.1,8.0,2017-12-21
울릉도,52.0,4.9,2.5,8.3,44,1.8,,8.0,2017-12-22
울릉도,57.3,6.9,2.6,9.9,44,4.8,,7.7,2017-12-23
울릉도,70.1,6.9,3.2,8.7,45,4.3,25.1,0.2,2017-12-24
수원,88.8,-2.0,1.0,4.1,52,-6.2,,5.5,2017-12-21
수원,77.3,2.5,1.1,7.9,59,-4.2,,4.0,2017-12-22
수원,91.1,4.0,0.6,9.0,73,1.9,,0.7,2017-12-23
수원,92.3,3.0,1.8,5.2,69,-0.3,17.0,0.0,2017-12-24
영월,70.0,-1.6,0.6,3.4,36,-5.4,0.0,8.3,2017-12-21
영월,73.4,0.4,0.3,6.2,52,-6.0,,4.0,2017-12-22
영월,79.8,2.9,0.3,9.3,52,-0.2,,5.8,2017-12-23
영월,87.5,1.4,0.6,3.0,65,-0.1,12.3,0.0,2017-12-24
충주,71.8,-2.3,1.0,3.0,33,-6.5,,7.7,2017-12-21
충주,73.4,-0.9,0.6,6.5,49,-8.0,,3.0,2017-12-22
충주,78.3,2.5,0.6,10.3,53,-1.3,,4.2,2017-12-23
충주,85.0,1.7,1.5,3.1,68,-0.4,12.7,0.0,2017-12-24
서산,80.5,-2.0,0.6,4.6,44,-7.5,,8.4,2017-12-21
서산,84.1,1.8,1.6,8.3,62,-4.8,,8.2,2017-12-22
서산,91.4,4.5,1.2,10.2,66,0.1,,6.6,2017-12-23
서산,84.8,4.2,2.9,7.0,59,2.0,16.2,0.0,2017-12-24
울진,41.1,3.3,3.0,9.5,21,-0.8,,8.8,2017-12-21
울진,48.5,4.4,3.0,11.0,32,-0.5,,8.5,2017-12-22
울진,52.9,7.1,2.7,13.1,35,-1.4,,7.7,2017-12-23
울진,66.4,6.8,2.2,9.2,42,3.6,8.0,0.4,2017-12-24
청주,67.9,0.1,1.0,3.8,34,-2.7,,8.4,2017-12-21
청주,69.5,1.8,0.7,7.9,51,-3.8,,5.3,2017-12-22
청주,73.8,5.1,0.7,10.5,56,1.0,,5.6,2017-12-23
청주,83.8,3.0,1.3,5.2,61,1.4,12.8,0.0,2017-12-24
대전,77.3,-0.6,0.9,4.5,38,-3.9,,8.1,2017-12-21
대전,74.8,1.9,0.9,9.1,54,-3.9,,5.3,2017-12-22
대전,81.3,3.9,0.7,11.5,52,-1.1,,5.7,2017-12-23
대전,90.5,3.2,1.6,6.0,79,0.7,21.4,0.0,2017-12-24
추풍령,56.8,-0.4,3.6,3.3,30,-5.1,0.0,8.4,2017-12-21
추풍령,63.6,0.1,1.7,6.7,47,-5.7,,4.6,2017-12-22
추풍령,70.6,2.2,1.1,10.6,39,-2.6,,6.9,2017-12-23
추풍령,77.6,1.7,2.6,4.6,58,-0.5,16.8,0.0,2017-12-24
안동,54.0,-1.7,1.6,5.8,22,-8.2,,9.0,2017-12-21
안동,65.0,-0.5,0.9,7.9,42,-9.1,,8.7,2017-12-22
안동,74.9,1.1,0.7,10.4,45,-6.1,,8.3,2017-12-23
안동,85.1,1.6,1.9,3.7,63,-0.7,7.9,1.9,2017-12-24
상주,52.3,0.9,2.5,5.1,27,-3.6,,8.3,2017-12-21
상주,56.8,1.8,1.5,8.4,42,-4.3,,4.6,2017-12-22
상주,67.4,3.2,0.8,11.1,44,-1.6,,5.9,2017-12-23
상주,77.9,1.9,2.1,5.6,52,-0.1,15.7,0.0,2017-12-24
포항,46.4,2.8,2.9,8.6,24,-1.8,,8.9,2017-12-21
포항,54.6,4.5,2.7,10.3,40,0.4,,8.9,2017-12-22
포항,58.6,6.2,2.2,12.4,37,1.6,,8.7,2017-12-23
포항,68.4,6.7,2.6,9.7,53,3.5,10.5,2.1,2017-12-24
군산,83.6,0.0,1.0,4.5,40,-2.7,0.0,7.1,2017-12-21
군산,75.8,3.2,1.4,9.5,56,-2.2,,4.5,2017-12-22
군산,87.4,4.6,0.9,12.0,55,-1.0,,7.6,2017-12-23
군산,86.8,5.0,3.1,9.1,60,3.2,27.6,0.9,2017-12-24
대구,45.1,0.7,2.0,7.8,19,-5.8,,9.0,2017-12-21
대구,55.8,1.9,1.1,9.5,35,-4.4,,8.9,2017-12-22
대구,66.5,2.3,0.5,10.8,37,-3.5,,7.7,2017-12-23
대구,75.5,3.1,2.5,5.9,51,0.7,11.0,0.1,2017-12-24
전주,74.8,0.6,1.3,4.2,30,-2.0,0.0,6.2,2017-12-21
전주,,64.0,3.0,1.4,9.0,49,-2.3,,2.5,2017-12-22
전주,76.8,5.7,1.5,12.4,52,0.7,,5.8,2017-12-23
전주,86.66.2,2.4,9.5,65,2.9,22.7,0.3,2017-12-24
울산,36.3,2.7,1.8,9.2,12,-4.1,,9.0,2017-12-21
울산,50.8,4.0,2.2,10.2,35,-1.3,,9.0,2017-12-22
울산,49.3,6.8,1.7,13.9,20,1.0,,8.1,2017-12-23
울산,68.4,8.1,2.3,12.5,49,2.6,12.7,1.2,2017-12-24
창원,46.1,2.6,1.3,8.7,23,-2.1,,8.7,2017-12-21
창원,52.3,2.9,1.2,9.0,33,-2.3,,8.8,2017-12-22
창원,61.9,4.6,0.9,11.0,36,-0.3,,6.7,2017-12-23
창원,66.1,7.1,1.6,13.1,46,3.7,13.2,1.5,2017-12-24
광주,71.1,2.2,1.0,7.0,30,-0.5,0.0,7.5,2017-12-21
광주,68.5,3.2,0.6,9.4,49,-2.3,,6.3,2017-12-22
광주,75.9,5.8,0.6,13.0,45,-0.5,,7.3,2017-12-23
광주,85.4,6.8,1.9,12.2,66,4.1,22.5,1.0,2017-12-24
부산,38.3,4.3,2.5,9.8,21,0.8,,9.0,2017-12-21
부산,44.9,5.1,3.2,10.6,30,0.4,,9.2,2017-12-22
부산,48.6,8.0,3.0,13.4,26,4.0,,7.6,2017-12-23
부산,68.9,8.8,4.2,13.4,49,4.2,10.4,1.7,2017-12-24
통영,67.9,3.5,1.5,8.9,40,-0.8,,8.8,2017-12-21
통영,60.8,3.9,1.5,9.6,40,-1.9,,8.6,2017-12-22
통영,77.8,6.0,0.9,11.5,58,1.4,,6.7,2017-12-23
통영,79.3,8.4,3.3,13.6,54,5.0,16.5,1.8,2017-12-24
목포,89.6,1.6,1.5,5.1,71,-0.7,,5.5,2017-12-21
목포,85.8,4.1,1.9,10.2,60,-1.3,,9.0,2017-12-22
목포,90.1,6.7,1.7,13.0,67,1.7,,6.4,2017-12-23
목포,92.9,7.6,6.3,12.5,70,4.4,20.7,3.0,2017-12-24
여수,54.9,3.9,4.0,8.9,24,1.0,,8.7,2017-12-21
여수,56.5,5.1,3.7,10.6,42,0.3,,8.5,2017-12-22
여수,78.1,7.0,1.4,11.8,55,3.4,,7.4,2017-12-23
여수,76.8,8.0,5.1,12.9,54,4.7,13.8,2.9,2017-12-24
흑산도,73.6,4.4,3.8,7.7,55,2.5,,8.8,2017-12-21
흑산도,77.5,7.2,1.9,11.8,56,2.8,,7.4,2017-12-22
흑산도,95.8,9.1,2.3,13.6,75,6.6,,6.5,2017-12-23
흑산도,89.8,7.8,8.2,11.5,61,4.4,17.4,2.9,2017-12-24
완도,77.3,2.9,1.7,7.4,42,-0.7,,5.9,2017-12-21
완도,83.6,4.4,1.0,10.6,54,-1.6,,7.8,2017-12-22
완도,90.8,6.8,0.9,13.7,66,1.8,,5.9,2017-12-23
완도,89.4,8.8,4.9,13.9,68,5.1,,1.7,2017-12-24
고창,92.6,-0.4,1.2,5.9,54,-4.2,0.0,6.2,2017-12-21
고창,89.8,1.8,1.0,9.3,60,-4.2,,4.7,2017-12-22
고창,89.9,4.8,0.7,12.4,62,-1.6,,7.3,2017-12-23
고창,90.0,7.0,5.1,11.8,66,3.9,21.7,0.8,2017-12-24
순천,63.1,-0.2,2.2,6.3,26,-5.4,,8.1,2017-12-21
순천,71.9,-0.5,1.2,9.0,45,-7.8,,8.6,2017-12-22
순천,79.4,2.5,0.8,13.4,43,-4.7,,7.0,2017-12-23
순천,85.8,4.8,2.8,11.3,63,1.4,18.6,0.5,2017-12-24
홍성,89.8,-2.5,0.7,3.9,58,-8.0,,6.8,2017-12-21
홍성,92.6,1.4,1.0,8.2,70,-5.2,,6.0,2017-12-22
홍성,93.8,4.2,1.0,10.4,70,-0.9,,4.7,2017-12-23
홍성,86.9,4.0,1.7,5.9,61,1.9,13.6,0.0,2017-12-24
제주,56.6,7.4,3.1,9.8,44,6.1,,2.7,2017-12-21
제주,62.4,8.3,2.2,12.3,53,4.6,,8.4,2017-12-22
제주,66.9,11.4,2.0,15.1,54,7.9,,5.1,2017-12-23
제주,69.3,11.3,5.8,14.6,48,7.9,6.7,0.2,2017-12-24
고산,60.0,7.1,5.9,9.5,51,4.9,,6.9,2017-12-21
고산,65.8,8.8,3.1,14.1,52,4.4,,6.4,2017-12-22
고산,72.9,11.9,2.9,15.1,58,8.1,,5.6,2017-12-23
고산,74.0,11.6,15.7,16.2,53,7.2,4.7,1.7,2017-12-24
성산,65.9,5.0,2.2,9.5,48,-1.1,,7.8,2017-12-21
성산,68.0,6.7,2.1,11.8,50,1.8,,7.6,2017-12-22
성산,68.4,10.4,2.3,15.7,51,3.9,,5.5,2017-12-23
성산,69.4,11.1,4.8,16.5,47,7.1,9.7,1.3,2017-12-24
서귀포,62.0,6.5,1.4,10.9,43,2.5,0.0,6.8,2017-12-21
서귀포,65.8,8.4,1.5,12.7,51,4.3,,8.8,2017-12-22
서귀포,68.1,11.6,1.2,14.9,57,7.7,,6.0,2017-12-23
서귀포,72.1,11.7,3.2,16.3,51,6.9,5.4,2.6,2017-12-24
진주,60.1,-1.1,0.6,9.6,28,-7.9,,8.4,2017-12-21
진주,60.4,-0.9,0.4,10.4,27,-9.7,,8.4,2017-12-22
진주,71.4,0.9,0.4,11.8,37,-6.3,,7.1,2017-12-23
진주,67.9,5.3,1.6,12.9,40,0.2,12.8,1.9,2017-12-24
강화,81.5,-3.7,1.3,3.7,57,-10.0,,8.3,2017-12-21
강화,75.4,3.3,1.8,7.5,63,-3.7,,4.2,2017-12-22
강화,89.0,2.9,0.7,7.5,69,-1.5,,2.0,2017-12-23
강화,80.1,2.3,2.0,4.9,51,-0.8,12.0,0.0,2017-12-24
